scenario,start_goal,algorithm,mean_ms,std_ms,median_ms,min_ms,visited,path_steps,path_cost
Short distance,"(1, 8)->(3, 3)",Dijkstra,0.1292,0.0544,0.1174,0.0807,14,8,16
Short distance,"(1, 8)->(3, 3)",A*,0.0856,0.0183,0.0858,0.0635,9,8,16
Short distance,"(1, 8)->(3, 3)",Bellman-Ford,0.7824,0.1499,0.6902,0.6513,59,8,16
Medium distance,"(1, 8)->(10, 2)",Dijkstra,0.2278,0.0063,0.2248,0.2225,37,14,30
Medium distance,"(1, 8)->(10, 2)",A*,0.1770,0.0547,0.1445,0.1359,19,14,30
Medium distance,"(1, 8)->(10, 2)",Bellman-Ford,0.7980,0.2417,0.6827,0.6507,59,14,30
Long distance,"(1, 8)->(13, 4)",Dijkstra,0.3960,0.0907,0.3544,0.3408,56,17,38
Long distance,"(1, 8)->(13, 4)",A*,0.2548,0.0492,0.2248,0.2147,28,17,38
Long distance,"(1, 8)->(13, 4)",Bellman-Ford,1.0364,0.2231,1.0417,0.6663,59,17,38
Random 1,"(10, 9)->(3, 3)",Dijkstra,0.2811,0.0231,0.2829,0.2126,35,13,25
Random 1,"(10, 9)->(3, 3)",A*,0.1541,0.0439,0.1515,0.1105,15,13,25
Random 1,"(10, 9)->(3, 3)",Bellman-Ford,0.9607,0.1710,0.8765,0.8254,59,13,25
Random 2,"(13, 5)->(0, 2)",Dijkstra,0.3689,0.0611,0.3896,0.2965,47,14,29
Random 2,"(13, 5)->(0, 2)",A*,0.1496,0.0251,0.1563,0.1185,14,14,29
Random 2,"(13, 5)->(0, 2)",Bellman-Ford,0.7809,0.0607,0.7636,0.7092,59,14,29
